,estimated_y
sample_1,0.26430701234368975
sample_2,0.2017548745510691
sample_3,0.6025109256414252
sample_4,-0.0774115305066913
sample_5,0.5495605550739591
sample_6,0.12543493236599818
sample_7,0.7294068262504879
sample_8,0.664256532470525
sample_9,0.32591200589937064
sample_10,0.19840344864538648
sample_11,0.06743272173756923
sample_12,0.049343756828952534
sample_13,0.16300945941812978
sample_14,0.04090982019067077
sample_15,0.7049843894519503
sample_16,0.09953276776211342
sample_17,0.5386422636904203
sample_18,-0.03771897113681211
sample_19,0.015984669348994285
sample_20,0.5587435399727916
